Raw Gaze R,Raw Gaze L,Gaze Mid X,Gaze Mid Y,Time
|Point2d(x=0.241952, y=0.021231)|,|Point2d(x=0.276059, y=0.058743)|,0.2590053454041481,0.039987364783883095,1580609978.399451
|Point2d(x=0.243331, y=0.023569)|,|Point2d(x=0.275550, y=0.057325)|,0.2594401314854622,0.040446692146360874,1580609978.41135
|Point2d(x=0.247905, y=0.018242)|,|Point2d(x=0.270210, y=0.070958)|,0.2590576931834221,0.0446002222597599,1580609978.422661
|Point2d(x=0.248590, y=0.020697)|,|Point2d(x=0.268006, y=0.070172)|,0.25829800218343735,0.04543444141745567,1580609978.433099
|Point2d(x=0.252811, y=0.016447)|,|Point2d(x=0.265852, y=0.071194)|,0.25933191180229187,0.04382075369358063,1580609978.444853
|Point2d(x=0.256856, y=0.018787)|,|Point2d(x=0.271007, y=0.064475)|,0.26393139362335205,0.04163065180182457,1580609978.456232
|Point2d(x=0.258634, y=0.022354)|,|Point2d(x=0.270641, y=0.068158)|,0.264637753367424,0.04525612201541662,1580609978.466223
|Point2d(x=0.275310, y=0.020171)|,|Point2d(x=0.292230, y=0.072039)|,0.283769816160202,0.04610515013337135,1580609978.477829
|Point2d(x=0.272488, y=0.039556)|,|Point2d(x=0.334274, y=0.068562)|,0.30338096618652344,0.054058777168393135,1580609978.489104
|Point2d(x=0.325601, y=0.047473)|,|Point2d(x=0.387018, y=0.065141)|,0.35630978643894196,0.05630689300596714,1580609978.499496
|Point2d(x=0.347643, y=0.051265)|,|Point2d(x=0.387531, y=0.059768)|,0.36758682131767273,0.055516673251986504,1580609978.512154
|Point2d(x=0.375489, y=0.035309)|,|Point2d(x=0.388699, y=0.053983)|,0.38209429383277893,0.0446462407708168,1580609978.522345
|Point2d(x=0.375130, y=0.032459)|,|Point2d(x=0.390352, y=0.047222)|,0.38274085521698,0.03984040953218937,1580609978.532696
|Point2d(x=0.378007, y=0.034254)|,|Point2d(x=0.395093, y=0.050251)|,0.3865501582622528,0.0422525592148304,1580609978.544401
|Point2d(x=0.382552, y=0.033655)|,|Point2d(x=0.397648, y=0.063124)|,0.39010024070739746,0.048389602452516556,1580609978.555739
|Point2d(x=0.381085, y=0.033608)|,|Point2d(x=0.401668, y=0.063125)|,0.39137640595436096,0.048366840928792953,1580609978.565966
|Point2d(x=0.376721, y=0.031193)|,|Point2d(x=0.403269, y=0.062789)|,0.38999493420124054,0.04699081461876631,1580609978.578075
|Point2d(x=0.377246, y=0.028350)|,|Point2d(x=0.409916, y=0.044688)|,0.3935810774564743,0.036518958397209644,1580609978.589346
|Point2d(x=0.375134, y=0.023697)|,|Point2d(x=0.407241, y=0.041281)|,0.3911874145269394,0.03248879872262478,1580609978.599417
|Point2d(x=0.375703, y=0.032844)|,|Point2d(x=0.405851, y=0.040112)|,0.3907766789197922,0.03647792525589466,1580609978.61139
|Point2d(x=0.375740, y=0.038394)|,|Point2d(x=0.391669, y=0.054885)|,0.3837044984102249,0.0466395728290081,1580609978.622427
|Point2d(x=0.379173, y=0.045296)|,|Point2d(x=0.390203, y=0.062151)|,0.38468819856643677,0.05372320115566254,1580609978.632866
|Point2d(x=0.387937, y=0.041205)|,|Point2d(x=0.384173, y=0.063098)|,0.3860553056001663,0.05215155519545078,1580609978.644724
|Point2d(x=0.387310, y=0.043072)|,|Point2d(x=0.388579, y=0.049490)|,0.3879443258047104,0.0462809968739748,1580609978.655845
|Point2d(x=0.387229, y=0.042789)|,|Point2d(x=0.392033, y=0.046986)|,0.3896310180425644,0.04488738253712654,1580609978.666301
|Point2d(x=0.380769, y=0.042982)|,|Point2d(x=0.398651, y=0.050428)|,0.3897098898887634,0.04670519568026066,1580609978.677958
|Point2d(x=0.381473, y=0.036335)|,|Point2d(x=0.405043, y=0.055051)|,0.39325806498527527,0.0456928052008152,1580609978.689115
